I,T,t,l,w,Itime,Otime,Dtime,Mtime,tag#,subtag#,orepeat#,relabel#,maxtag#,morepeat#
10000000,2,20,3,0,1149.204425,679.797254,245.844127,3244.685363,0,10000000,0,0,0,0
10000000,2,21,3,0,1284.519867,598.538541,238.995887,3148.605362,125766,11760724,0,62883,0,0
10000000,2,22,3,0,408.340022,36.590550,156.310154,739.470813,6321054,19990792,0,356814,3780,0
10000000,2,23,3,0,903.389489,36.115920,47.308105,1253.614528,99024410,19999976,0,357142,713076,0
10000000,2,20,0,0,1321.729934,680.850979,845.184072,3298.136688,0,10000000,0,0,0,0
10000000,2,21,0,0,1467.921178,599.497282,824.019405,3226.534774,124570,11743980,0,62285,0,0
10000000,2,22,0,0,446.344002,36.639583,381.253424,788.368515,6315473,19990932,0,356819,3780,0
10000000,2,23,0,0,1046.075354,36.368681,131.217950,1381.571650,99024410,19999976,0,357142,713076,0
10000000,2,20,1,0,1659.073578,681.419163,1151.091924,3361.055255,0,10000000,0,0,0,0
10000000,2,21,1,0,1817.285931,599.463950,1167.651525,3282.043607,125938,11763132,0,62969,0,0
10000000,2,22,1,0,588.940875,36.632622,523.193778,929.639250,6286254,19990736,0,356812,3780,0
10000000,2,23,1,0,1548.727673,36.322749,280.916653,1829.257961,99024410,19999976,0,357142,713076,0
10000000,2,20,0,1,1468.656081,811.033221,852.525853,3299.264266,0,10000000,0,0,0,0
10000000,2,21,0,1,1705.439807,693.705051,830.854840,3235.013260,125056,11750784,0,62528,0,0
10000000,2,22,0,1,451.044616,36.185870,382.813366,781.957822,6305857,19991100,0,356825,2485,0
10000000,2,23,0,1,1047.424620,35.016029,129.531095,1413.919634,99024410,19999976,0,357142,713076,0
10000000,2,20,1,1,1743.007510,813.294737,1134.725413,3361.931547,0,10000000,0,0,0,0
10000000,2,21,1,1,1886.423855,694.102481,1155.730489,3297.429151,124634,11744876,0,62317,0,0
10000000,2,22,1,1,607.447402,36.211279,514.960408,923.666840,6289497,19990484,0,356803,2485,0
10000000,2,23,1,1,1544.336220,35.110021,282.083969,1813.983540,99024410,19999976,0,357142,713076,0
10000000,2,20,0,2,781.115523,410.387000,436.220156,1777.772242,0,10000000,0,0,0,0
10000000,2,21,0,2,921.359387,350.260946,425.767705,1728.721696,124650,11745100,0,62325,0,0
10000000,2,22,0,2,375.628288,18.226974,219.513634,577.920802,6282132,19990708,0,356811,3780,0
